geometry;fid;id;name;area_m2
MultiPolygon (((520488.375 5018966.0,520588.375 5018966.0,520588.375 5018866.0,520488.375 5018866.0,520488.375 5018966.0)));1;1;cell1;10000
MultiPolygon (((520488.375 5018866.0,520588.375 5018866.0,520588.375 5018766.0,520488.375 5018766.0,520488.375 5018866.0)));2;2;cell2;10000
MultiPolygon (((520488.375 5018766.0,520588.375 5018766.0,520588.375 5018666.0,520488.375 5018666.0,520488.375 5018766.0)));3;3;cell3;10000
MultiPolygon (((520488.375 5018666.0,520588.375 5018666.0,520588.375 5018566.0,520488.375 5018566.0,520488.375 5018666.0)));4;4;cell4;10000
MultiPolygon (((520488.375 5018566.0,520588.375 5018566.0,520588.375 5018466.0,520488.375 5018466.0,520488.375 5018566.0)));5;5;cell5;10000
MultiPolygon (((520488.375 5018466.0,520588.375 5018466.0,520588.375 5018366.0,520488.375 5018366.0,520488.375 5018466.0)));6;6;cell6;10000
MultiPolygon (((520588.375 5018966.0,520688.375 5018966.0,520688.375 5018866.0,520588.375 5018866.0,520588.375 5018966.0)));7;7;cell7;10000
MultiPolygon (((520588.375 5018866.0,520688.375 5018866.0,520688.375 5018766.0,520588.375 5018766.0,520588.375 5018866.0)));8;8;cell8;10000
MultiPolygon (((520588.375 5018766.0,520688.375 5018766.0,520688.375 5018666.0,520588.375 5018666.0,520588.375 5018766.0)));9;9;cell9;10000
MultiPolygon (((520588.375 5018666.0,520688.375 5018666.0,520688.375 5018566.0,520588.375 5018566.0,520588.375 5018666.0)));10;10;cell10;10000
MultiPolygon (((520588.375 5018566.0,520688.375 5018566.0,520688.375 5018466.0,520588.375 5018466.0,520588.375 5018566.0)));11;11;cell11;10000
MultiPolygon (((520588.375 5018466.0,520688.375 5018466.0,520688.375 5018366.0,520588.375 5018366.0,520588.375 5018466.0)));12;12;cell12;10000
MultiPolygon (((520688.375 5018966.0,520788.375 5018966.0,520788.375 5018866.0,520688.375 5018866.0,520688.375 5018966.0)));13;13;cell13;10000
MultiPolygon (((520688.375 5018866.0,520788.375 5018866.0,520788.375 5018766.0,520688.375 5018766.0,520688.375 5018866.0)));14;14;cell14;10000
MultiPolygon (((520688.375 5018766.0,520788.375 5018766.0,520788.375 5018666.0,520688.375 5018666.0,520688.375 5018766.0)));15;15;cell15;10000
MultiPolygon (((520688.375 5018666.0,520788.375 5018666.0,520788.375 5018566.0,520688.375 5018566.0,520688.375 5018666.0)));16;16;cell16;10000
MultiPolygon (((520688.375 5018566.0,520788.375 5018566.0,520788.375 5018466.0,520688.375 5018466.0,520688.375 5018566.0)));17;17;cell17;10000
MultiPolygon (((520688.375 5018466.0,520788.375 5018466.0,520788.375 5018366.0,520688.375 5018366.0,520688.375 5018466.0)));18;18;cell18;10000
MultiPolygon (((520788.375 5018966.0,520888.375 5018966.0,520888.375 5018866.0,520788.375 5018866.0,520788.375 5018966.0)));19;19;cell19;10000
MultiPolygon (((520788.375 5018866.0,520888.375 5018866.0,520888.375 5018766.0,520788.375 5018766.0,520788.375 5018866.0)));20;20;cell20;10000
MultiPolygon (((520788.375 5018766.0,520888.375 5018766.0,520888.375 5018666.0,520788.375 5018666.0,520788.375 5018766.0)));21;21;cell21;10000
MultiPolygon (((520788.375 5018666.0,520888.375 5018666.0,520888.375 5018566.0,520788.375 5018566.0,520788.375 5018666.0)));22;22;cell22;10000
MultiPolygon (((520788.375 5018566.0,520888.375 5018566.0,520888.375 5018466.0,520788.375 5018466.0,520788.375 5018566.0)));23;23;cell23;10000
MultiPolygon (((520788.375 5018466.0,520888.375 5018466.0,520888.375 5018366.0,520788.375 5018366.0,520788.375 5018466.0)));24;24;cell24;10000
MultiPolygon (((520888.375 5018966.0,520988.375 5018966.0,520988.375 5018866.0,520888.375 5018866.0,520888.375 5018966.0)));25;25;cell25;10000
MultiPolygon (((520888.375 5018866.0,520988.375 5018866.0,520988.375 5018766.0,520888.375 5018766.0,520888.375 5018866.0)));26;26;cell26;10000
MultiPolygon (((520888.375 5018766.0,520988.375 5018766.0,520988.375 5018666.0,520888.375 5018666.0,520888.375 5018766.0)));27;27;cell27;10000
MultiPolygon (((520888.375 5018666.0,520988.375 5018666.0,520988.375 5018566.0,520888.375 5018566.0,520888.375 5018666.0)));28;28;cell28;10000
MultiPolygon (((520888.375 5018566.0,520988.375 5018566.0,520988.375 5018466.0,520888.375 5018466.0,520888.375 5018566.0)));29;29;cell29;10000
MultiPolygon (((520888.375 5018466.0,520988.375 5018466.0,520988.375 5018366.0,520888.375 5018366.0,520888.375 5018466.0)));30;30;cell30;10000
